repo_url,snapshots,entries,primary_languages,sloc_min,sloc_p25,sloc_median,sloc_mean,sloc_p75,sloc_max
https://github.com/BerriAI/litellm,1,1,"[""Python""]",625842,625842.0,625842,625842,625842.0,625842
https://github.com/FlowiseAI/Flowise,7,21,"[""TypeScript""]",210658,212067.0,212900,213282.2857142857,212991.5,219301
https://github.com/NVIDIA/NeMo,3,15,"[""Python""]",402726,405674.5,408623,406679,408655.5,408688
https://github.com/PrefectHQ/fastmcp,1,1,"[""Python""]",111986,111986.0,111986,111986,111986.0,111986
https://github.com/Significant-Gravitas/AutoGPT,1,2,"[""Python""]",245242,245242.0,245242,245242,245242.0,245242
https://github.com/Tencent/WeKnora,2,5,"[""Go""]",112983,118536.75,124090.5,124090.5,129644.25,135198
https://github.com/apache/airflow,3,5,"[""Python""]",879566,895422.5,911279,904302.6666666666,916671.0,922063
https://github.com/aquasecurity/trivy,1,3,"[""Go""]",224740,224740.0,224740,224740,224740.0,224740
https://github.com/czlonkowski/n8n-mcp,1,2,"[""TypeScript""]",159043,159043.0,159043,159043,159043.0,159043
https://github.com/google/adk-python,1,3,"[""Python""]",191256,191256.0,191256,191256,191256.0,191256
https://github.com/jlowin/fastmcp,1,1,"[""Python""]",72812,72812.0,72812,72812,72812.0,72812
https://github.com/langchain-ai/langchain,1,3,"[""Python""]",194999,194999.0,194999,194999,194999.0,194999
https://github.com/langflow-ai/langflow,4,7,"[""Python"",""TypeScript""]",102417,171416.25,299277.5,276639.25,404500.5,405585
https://github.com/milvus-io/milvus,2,5,"[""Go""]",862479,888176.5,913874.0,913874,939571.5,965269
https://github.com/mlflow/mlflow,2,6,"[""Python""]",702836,768736.25,834636.5,834636.5,900536.75,966437
https://github.com/modelcontextprotocol/typescript-sdk,1,2,"[""TypeScript""]",50846,50846.0,50846,50846,50846.0,50846
https://github.com/n8n-io/n8n,10,27,"[""TypeScript""]",1221398,1438374.0,1552412.5,1583735.2,1766005.5,1913675
https://github.com/nltk/nltk,1,1,"[""Python""]",78631,78631.0,78631,78631,78631.0,78631
https://github.com/ollama/ollama,1,2,"[""Go""]",156163,156163.0,156163,156163,156163.0,156163
https://github.com/onnx/onnx,1,2,"[""Python""]",138067,138067.0,138067,138067,138067.0,138067
https://github.com/open-webui/open-webui,2,2,"[""Svelte""]",194210,204807.25,215404.5,215404.5,226001.75,236599
https://github.com/openclaw/openclaw,6,32,"[""TypeScript""]",662432,771600.5,846088.5,1059753.5,1069708.75,2112892
https://github.com/paperclipai/paperclip,2,8,"[""TypeScript""]",191659,202763.5,213868.0,213868,224972.5,236077
